Event.Id,Event.Date,Year,Make,Model,Aircraft.Category,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Injury.Severity,Severity.Level,Outcome
20070920X01424,2007-06-22,2007,Cessna,175,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,Non-Fatal,None,Non-Fatal
20070723X01002,2007-06-24,2007,Cessna,170A,Airplane,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,2.0,VMC,Maneuvering,Non-Fatal,Medium,Non-Fatal
20070801X01079,2007-06-24,2007,Cessna,172S,Airplane,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20070703X00856,2007-06-24,2007,Aeronca,7EC,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20070717X00952,2007-06-24,2007,Grumman,G21A,Airplane,No,2.0,Reciprocating,Positioning,0.0,0.0,0.0,2.0,VMC,Takeoff,Non-Fatal,None,Non-Fatal
20070723X01003,2007-06-25,2007,Cessna,172S,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20070723X01005,2007-06-25,2007,Robinson,R22,Helicopter,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20070712X00924,2007-06-25,2007,Piper,J3F-65,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Non-Fatal,None,Non-Fatal
20070730X01059,2007-06-26,2007,Cessna,172N,Airplane,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,Non-Fatal,None,Non-Fatal
20070807X01129,2007-06-26,2007,Piper,PA-24-250,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20070829X01265,2007-06-26,2007,Aeronca,7AC,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Takeoff,Non-Fatal,Low,Non-Fatal
20070726X01022,2007-06-26,2007,Cessna,188B,Airplane,No,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,0.0,VMC,Maneuvering,Non-Fatal,Low,Non-Fatal
20070712X00922,2007-06-26,2007,Bell,206B,Helicopter,No,1.0,Turbo Shaft,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,Non-Fatal,None,Non-Fatal
20070705X00879,2007-06-27,2007,Mcdonnell Douglas,MD 83,Airplane,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,501.0,VMC,Standing,Non-Fatal,None,Non-Fatal
20070705X00879,2007-06-27,2007,Boeing,777-222,Airplane,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,501.0,VMC,Taxi,Non-Fatal,None,Non-Fatal
20070909X01343,2007-06-28,2007,Cessna,150,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,Non-Fatal,None,Non-Fatal
20070724X01009,2007-06-28,2007,Schweizer,269C,Helicopter,No,1.0,Reciprocating,Aerial Observation,0.0,0.0,0.0,2.0,VMC,Maneuvering,Non-Fatal,None,Non-Fatal
20070827X01245,2007-06-28,2007,Cessna,150L,Airplane,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Cruise,Non-Fatal,None,Non-Fatal
20070705X00878,2007-06-28,2007,Piper,PA-46-500TP,Airplane,No,1.0,Turbo Prop,Personal,3.0,0.0,0.0,0.0,VMC,Climb,Fatal,High,Fatal
20070723X01001,2007-06-29,2007,Piper,PA 28R-180,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Go-Around,Non-Fatal,None,Non-Fatal
20070727X01031,2007-06-29,2007,Cessna,T206H,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20071011X01544,2007-06-29,2007,Cessna,172N,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,Non-Fatal,None,Non-Fatal
20070724X01007,2007-06-29,2007,Cessna,172P,Airplane,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20070731X01065,2007-06-30,2007,Piper,PA28R-200,Airplane,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Approach,Non-Fatal,None,Non-Fatal
20070711X00907,2007-06-30,2007,Cessna,500,Airplane,No,2.0,Turbo Fan,Personal,2.0,0.0,1.0,0.0,VMC,Landing,Fatal,High,Fatal
20071018X01621,2007-06-30,2007,Air Tractor,AT-301,Airplane,No,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC,Maneuvering,Non-Fatal,None,Non-Fatal
20070829X01264,2007-07-01,2007,Mooney,M20R,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20070908X01334,2007-07-01,2007,Cessna,172S,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20070829X01266,2007-07-01,2007,Piper,PA-24-250,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20070727X01032,2007-07-01,2007,Cessna,180A,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20070901X01291,2007-07-02,2007,Piper,PA-34-200,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20070804X01105,2007-07-02,2007,Cessna,172K,Airplane,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Non-Fatal,None,Non-Fatal
20070723X01000,2007-07-03,2007,Robinson,R 22 Beta,Helicopter,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Maneuvering,Non-Fatal,None,Non-Fatal
20070808X01154,2007-07-03,2007,Cessna,172S,Airplane,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20070807X01125,2007-07-03,2007,Cessna,T210N,Airplane,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20070713X00933,2007-07-03,2007,Beech,E90,Airplane,No,2.0,Turbo Prop,Personal,2.0,0.0,0.0,0.0,IMC,Takeoff,Fatal,High,Fatal
20070810X01170,2007-07-04,2007,Boeing,N2S-3,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Maneuvering,Non-Fatal,Low,Non-Fatal
20070807X01134,2007-07-05,2007,Cessna,195,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20070905X01315,2007-07-05,2007,Cessna,185F,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,3.0,VMC,Maneuvering,Non-Fatal,Low,Non-Fatal
20070723X00976,2007-07-06,2007,Ayres,S2R-G10,Airplane,No,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC,Maneuvering,Non-Fatal,None,Non-Fatal
20070726X01021,2007-07-06,2007,Piper,PA-28-181,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20070726X01019,2007-07-06,2007,Cessna,150M,Airplane,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20070717X00949,2007-07-07,2007,Eurocopter,EC 130 B4,Helicopter,No,1.0,Turbo Shaft,Other Work Use,0.0,0.0,0.0,8.0,VMC,Approach,Non-Fatal,None,Non-Fatal
20070919X01411,2007-07-07,2007,Piper,PA-20-135,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20070808X01159,2007-07-07,2007,Cessna,170,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,1.0,VMC,Takeoff,Non-Fatal,Low,Non-Fatal
